,day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost,estimatedRevenue,estimatedAdRevenue,grossRevenue,estimatedRedPartnerRevenue,monetizedPlaybacks,playbackBasedCpm,adImpressions,cpm
0,2020-07-01,571,23,1,20,0,6,2,2,1546,38,162,16.56,0,0,0,0,0,0,0,0.0,0.05,1,20,0,1,7,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0
1,2020-07-02,488,7,5,25,0,8,2,1,1068,12,131,13.84,0,0,0,0,0,0,0,0.5,0.047599999999999996,2,21,1,1,8,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2,2020-07-03,415,10,0,2,0,3,0,2,932,12,134,13.059999999999999,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
3,2020-07-04,490,21,8,12,0,3,0,0,1204,47,147,13.96,0,0,0,0,0,0,0,0.0,0.047599999999999996,1,21,0,1,4,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0
4,2020-07-05,599,42,8,15,0,8,2,3,1585,192,158,15.810000000000002,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
5,2020-07-06,485,32,4,7,1,5,0,1,1418,167,175,19.12,0,0,0,0,0,0,0,0.0,0.0625,2,32,0,2,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
6,2020-07-07,414,28,1,1,1,8,3,0,1051,65,152,15.740000000000002,0,0,0,0,0,0,0,0.0,0.0,1,23,0,0,2,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
7,2020-07-08,564,22,9,7,2,8,4,0,1919,31,204,20.8,0,0,0,0,0,0,0,0.0,0.0,0,19,0,0,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
8,2020-07-09,620,20,8,19,0,10,2,0,1412,47,136,12.9,0,0,0,0,0,0,0,0.0,0.0,0,19,0,0,7,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
9,2020-07-10,528,20,3,13,0,5,1,0,1016,23,115,12.2,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,5,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
10,2020-07-11,652,44,6,24,0,8,3,4,1614,66,148,14.099999999999998,0,0,0,0,0,0,0,0.0,0.0,0,20,0,0,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
11,2020-07-12,631,18,4,19,0,18,1,1,1355,54,128,12.33,0,0,0,0,0,0,0,0.0,0.030299999999999997,1,33,0,1,9,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
12,2020-07-13,502,15,14,18,1,4,0,1,1288,14,153,16.08,0,0,0,0,0,0,0,0.0,0.0,0,13,0,0,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
13,2020-07-14,600,19,11,43,3,7,4,0,1066,36,106,11.94,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,9,3,0.0,0.0,0.0,0.0,0,0.0,0,0.0
14,2020-07-15,553,22,4,8,0,5,2,0,1095,78,118,12.24,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,5,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
15,2020-07-16,653,13,0,13,0,7,2,2,1123,22,103,11.57,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,3,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0
16,2020-07-17,779,37,3,11,0,2,0,2,1596,46,122,14.11,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,7,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
17,2020-07-18,507,22,5,10,0,1,1,3,1170,116,138,15.289999999999997,0,0,0,0,0,0,0,0.0,0.0,0,22,0,0,2,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
18,2020-07-19,493,20,1,12,0,4,1,1,985,60,119,12.73,0,0,0,0,0,0,0,0.0,0.0,0,20,0,0,2,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0
19,2020-07-20,664,28,5,18,0,10,4,0,1566,40,141,15.17,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,5,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
20,2020-07-21,741,24,5,6,0,15,6,0,2212,84,179,18.74,0,0,0,0,0,0,0,1.0,0.0333,1,30,1,1,4,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0
21,2020-07-22,714,50,5,12,1,10,2,0,1938,85,162,17.08,0,0,0,0,0,0,0,1.0,0.030299999999999997,1,33,1,1,5,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
22,2020-07-23,717,51,3,16,0,4,1,1,1695,97,141,14.029999999999998,0,0,0,0,0,0,0,0.0,0.0227,1,44,0,1,8,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
23,2020-07-24,607,42,5,18,0,7,5,4,1458,99,144,15.03,0,0,0,0,0,0,0,0.0,0.0,0,25,0,0,6,2,0.0,0.0,0.0,0.0,0,0.0,0,0.0
24,2020-07-25,548,44,1,10,0,6,3,1,1691,106,185,18.07,0,0,0,0,0,0,0,0.0,0.037000000000000005,1,27,0,1,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
25,2020-07-26,546,32,6,12,1,7,8,0,1228,154,134,13.900000000000002,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
26,2020-07-27,781,44,17,35,0,14,5,0,1937,130,148,17.34,0,0,0,0,0,0,0,0.0,0.0,0,16,0,0,8,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
27,2020-07-28,853,43,10,18,0,3,0,0,1931,138,135,14.360000000000001,0,0,0,0,0,0,0,1.0,0.0333,1,30,1,1,7,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
28,2020-07-29,629,69,4,14,0,11,0,0,1235,177,117,11.71,0,0,0,0,0,0,0,0.25,0.0645,4,31,1,2,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
29,2020-07-30,725,36,6,14,0,6,3,1,1863,129,154,17.1,0,0,0,0,0,0,0,0.0,0.0,0,28,0,0,9,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
30,2020-07-31,899,41,453,41,0,15,1,5,2831,142,188,8.98,0,0,0,0,0,0,0,0.3333,0.0741,3,27,1,2,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
31,2020-08-01,673,30,4,16,1,4,1,0,1492,42,133,11.08,0,0,0,0,0,0,0,0.0,0.07690000000000001,2,26,0,2,8,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0
32,2020-08-02,638,21,5,13,2,7,2,0,1365,62,128,10.18,0,0,0,0,0,0,0,0.0,0.0,0,25,0,0,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
33,2020-08-03,851,27,316,37,0,9,2,2,2347,44,165,6.819999999999999,0,0,0,0,0,0,0,0.5,0.0417,2,24,1,1,6,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0
34,2020-08-04,709,22,7,15,2,6,3,1,1323,38,111,7.32,0,0,0,0,0,0,0,0.0,0.0,0,28,0,0,2,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
35,2020-08-05,669,20,168,41,1,9,0,1,1856,235,166,8.97,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0,0.0
36,2020-08-06,661,36,1,11,0,1,1,0,1553,208,141,10.17,0,0,0,0,0,0,0,0.3333,0.1852,6,27,2,5,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
37,2020-08-07,689,38,3,9,0,11,4,2,1313,140,114,8.8,0,0,0,0,0,0,0,1.0,0.0323,2,31,2,1,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
38,2020-08-08,620,29,1,7,0,6,1,1,1202,82,116,10.34,0,0,0,0,0,0,0,0.0,0.037000000000000005,1,27,0,1,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
39,2020-08-09,744,31,2,15,0,10,0,1,1793,92,144,12.15,0,0,0,0,0,0,0,0.0,0.0,0,28,0,0,12,2,0.0,0.0,0.0,0.0,0,0.0,0,0.0
40,2020-08-10,714,34,5,15,2,7,3,0,1676,31,140,9.53,0,0,0,0,0,0,0,0.5,0.0278,2,36,1,1,4,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
41,2020-08-11,741,31,1,8,1,8,3,0,1770,65,143,12.46,0,0,0,0,0,0,0,0.0,0.037000000000000005,1,27,0,1,6,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
42,2020-08-12,668,27,3,6,0,2,2,2,1412,123,126,10.87,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,7,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
43,2020-08-13,779,23,18,60,1,14,0,1,1567,73,120,9.15,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,9,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
44,2020-08-14,695,42,5,20,0,5,2,3,1703,93,147,11.7,0,0,0,0,0,0,0,0.0,0.0,0,29,0,0,10,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
45,2020-08-15,590,49,3,12,0,12,2,2,1206,127,122,10.52,0,0,0,0,0,0,0,0.0,0.0,0,21,0,0,7,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
46,2020-08-16,710,70,2,18,0,9,1,0,1361,159,115,9.51,0,0,0,0,0,0,0,0.0,0.0323,1,31,0,1,12,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
47,2020-08-17,1232,85,15,45,1,17,3,7,2456,119,119,13.56,0,0,0,0,0,0,0,0.5,0.0313,2,32,1,1,16,4,0.0,0.0,0.0,0.0,0,0.0,0,0.0
48,2020-08-18,939,32,7,19,1,22,1,1,1873,43,119,10.29,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,12,3,0.0,0.0,0.0,0.0,0,0.0,0,0.0
49,2020-08-19,911,52,10,45,0,24,8,2,1866,234,122,11.28,0,0,0,0,0,0,0,0.6,0.075,5,40,3,3,9,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0
50,2020-08-20,870,30,2,14,2,17,5,1,1353,25,93,9.62,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,10,2,0.0,0.0,0.0,0.0,0,0.0,0,0.0
